mu1,mu2
1.8227013824035505,0.0
1.2891936563218611,0.0
3.662666444206988,0.0
2.612973214443782,0.0
3.9316331958182826,0.0
3.3552024105652807,0.0
2.311918343070838,0.0
4.127503818278653,0.0
3.2173307049911086,0.0
2.9276148051682593,0.0
2.3154761910968538,0.0
2.9123544048493297,0.0
4.7604111589407125,0.0
3.670742136988234,0.0
4.523283654802549,0.0
2.7806968880987255,0.0
3.2493020819875684,0.0
4.912256520286868,0.0
4.236230090477462,0.0
5.112284089501068,0.0
2.7244815315078807,0.0
4.657269945683954,0.0
3.5728509987366888,0.0
4.9181917494947225,0.0
1.454067721953499,0.0
3.508245168330392,0.0
5.263155970515793,0.0
3.3692773288653566,0.0
2.3970827044948813,0.0
4.041833222355066,0.0
7.260429326351101,0.0
1.6246715764253528,0.0
3.7524264857416165,0.0
4.765134088196242,0.0
6.038191375167736,0.0
5.609504692301809,0.0
2.9259341178538403,0.0
3.533058221489437,0.0
1.6056286108242288,0.0
3.316927415596953,0.0
5.2715191121246106,0.0
4.186521321520036,0.0
4.497930204242949,0.0
3.8162319511477496,0.0
3.6175362530394377,0.0
6.978107555627609,0.0
1.7630291722993556,0.0
2.5343038561841458,0.0
3.3161289499810183,0.0
3.6934055835249775,0.0
1.3490335678604497,0.0
3.8946303176801274,0.0
3.007078191161648,0.0
4.042416251515828,0.0
5.06668163460615,0.0
4.012458033683042,0.0
2.753901156140084,0.0
3.749823501465943,0.0
1.2838698270825732,0.0
2.174763192460947,0.0
4.7513161791743865,0.0
2.272488017162838,0.0
5.736527454838504,0.0
7.194058701234561,0.0
1.733517059107806,0.0
4.165146822377679,0.0
1.2657547855289053,0.0
2.0050670511237962,0.0
3.9715335638272107,0.0
4.803797296337341,0.0
1.9211870964318216,0.0
4.238287214573376,0.0
5.070044392227899,0.0
4.165579709902884,0.0
4.365992537127129,0.0
4.813423636261972,0.0
4.764046115563728,0.0
3.9716264873653317,0.0
3.24852129298253,0.0
2.3030999475393905,0.0
5.474742244941967,0.0
6.063438550143978,0.0
4.0919756759001515,0.0
5.143995537732374,0.0
4.75863181178181,0.0
1.7773898523602332,0.0
1.6752506139614876,0.0
3.840223150739036,0.0
3.9300665646675874,0.0
4.954848112667515,0.0
3.576696819523399,0.0
2.0866298820027467,0.0
1.012360568452743,0.0
3.502526772637448,0.0
2.222814955326931,0.0
4.174807599051871,0.0
3.867585058542472,0.0
2.1351118356795125,0.0
4.251269310696488,0.0
2.7566633572105914,0.0
6.8446829391420625,0.0
5.219541219270355,0.0
3.459376033474954,0.0
4.991182897212079,0.0
2.7577991234013677,0.0
1.891011456629575,0.0
2.9897594393905917,0.0
4.007731393115667,0.0
5.682568447395908,0.0
3.8684494205803626,0.0
3.7222965968883734,0.0
4.7068114221557575,0.0
2.679443371322221,0.0
4.030838603414871,0.0
3.2451116760774106,0.0
3.933596808039778,0.0
4.5871231644447885,0.0
1.6434866979246268,0.0
3.259528755679859,0.0
0.0416495131442578,0.0
3.959488297367687,0.0
2.5146756072840715,0.0
3.0153873008374843,0.0
0.3566405061213853,0.0
0.4374175948634896,0.0
4.002149089837312,0.0
4.35983686019291,0.0
1.4496401976141455,0.0
3.196019489109058,0.0
1.7836309349930883,0.0
5.909436173032931,0.0
0.8703611926406587,0.0
3.158541506898897,0.0
1.6097456963568835,0.0
3.909972954792404,0.0
3.223428103802206,0.0
1.057456502614786,0.0
2.944394288123522,0.0
3.848602559521428,0.0
4.822958473814079,0.0
3.177930459877145,0.0
3.9770249295026745,0.0
6.304018607212113,0.0
1.005961709935909,0.0
2.2067457254819622,0.0
4.059334431467833,0.0
3.800474185033966,0.0
5.2907473704930394,0.0
3.9289679811088556,0.0
3.075413883050865,0.0
6.339448786300884,0.0
6.716685243847372,0.0
3.9876435845299127,0.0
4.1093397494571136,0.0
3.355049098398065,0.0
2.908368716500525,0.0
4.265571070208638,0.0
6.335813448251127,0.0
4.114279908537813,0.0
3.9421761646442635,0.0
4.506409989699458,0.0
2.7709014658199385,0.0
4.268800710242883,0.0
2.767779449133095,0.0
1.705971939192188,0.0
1.3399773358518519,0.0
3.120231825839795,0.0
3.9255845598800936,0.0
2.7088926792024193,0.0
3.5247655371791415,0.0
2.5721699017262094,0.0
3.6798474497077964,0.0
3.166828016366547,0.0
