weight,ll,llt,prior
1.0,-20.865650625032,0.0,-2.1879304184430417
1.0,-14.248260468916454,0.0,-2.0194616500333287
1.0,-35.22092163044724,0.0,-3.020050618399056
1.0,-35.95554457922117,0.0,-3.072257985418914
1.0,-5.699428886600963,0.0,-2.8209630026737615
1.0,-6.26324379233561,0.0,-4.130146256895957
1.0,-6.313237513642197,0.0,-2.5593742390754484
1.0,-40.052010707946735,0.0,-3.3751657912330577
1.0,-8.554677191859984,0.0,-2.1926368688145406
1.0,-40.03679403216482,0.0,-3.374006293932128
1.0,-15.881605076043137,0.0,-2.038580809445045
1.0,-8.642509611541042,0.0,-2.184792725305262
1.0,-11.433206592778761,0.0,-2.0419073131120724
1.0,-11.279559589527555,0.0,-2.0458426194677215
1.0,-10.626497930157713,0.0,-2.0666811710722395
1.0,-5.56829574930544,0.0,-2.922936244954464
1.0,-5.5472651438194,0.0,-2.9437894480761857
1.0,-15.490049219392164,0.0,-2.032312540449658
1.0,-29.91254602666654,0.0,-2.665480664055826
1.0,-8.366109547651469,0.0,-2.2104881010311512
1.0,-13.008162535969426,0.0,-2.0191225785904727
1.0,-30.39103305298307,0.0,-2.6956331185142988
1.0,-12.949742514781036,0.0,-2.0194635357449275
1.0,-9.868868712905947,0.0,-2.100530487501746
1.0,-19.147387094023614,0.0,-2.123925533447272
1.0,-5.571655070729836,0.0,-2.9197663826395504
1.0,-5.47550110967682,0.0,-3.4359250711822735
1.0,-17.88965245677002,0.0,-2.0847630211995196
1.0,-11.548602239247252,0.0,-2.039175297081436
1.0,-9.803120459397242,0.0,-2.1040356003901506
1.0,-21.37554845900298,0.0,-2.2089889261148246
1.0,-7.314986371289248,0.0,-2.342495059323875
1.0,-8.026916036443897,0.0,-2.2464530547183106
1.0,-16.26594429384865,0.0,-2.0456669977346507
1.0,-7.88468936751185,0.0,-2.2631961721816802
1.0,-5.789263610271245,0.0,-3.7970163315135173
1.0,-10.735227710119378,0.0,-2.062720202377695
1.0,-9.687356604685808,0.0,-2.110450850467473
1.0,-6.077449091247383,0.0,-2.6381121990723506
1.0,-5.837970578961157,0.0,-2.7417204374002067
1.0,-11.549884456637454,0.0,-2.0391459937213563
1.0,-7.787034869507261,0.0,-2.2753275253917327
1.0,-13.391499111175378,0.0,-2.0177249254112297
1.0,-10.237907006723898,0.0,-2.0826076639385667
1.0,-13.872947691931985,0.0,-2.0179171697298033
1.0,-13.389775061391813,0.0,-2.017728040523952
1.0,-6.063422368385558,0.0,-2.6433952588194973
1.0,-16.75288279053608,0.0,-2.0558966315090306
1.0,-14.93387630543139,0.0,-2.0251703319006404
1.0,-27.860366464018313,0.0,-2.54084905619035
1.0,-6.412802555006354,0.0,-2.5307113858723795
1.0,-28.280934505896376,0.0,-2.5657430538725636
1.0,-40.91930080755587,0.0,-3.4416452004024496
1.0,-17.141080832487393,0.0,-2.064998926749097
1.0,-7.1760538207235465,0.0,-2.3654495343912383
1.0,-6.414541681795126,0.0,-2.530230554008022
1.0,-10.685369020117177,0.0,-2.0645107950189048
1.0,-16.599984199550818,0.0,-2.0525387240692883
1.0,-20.145369652842806,0.0,-2.1597394762670565
1.0,-26.513768852715554,0.0,-2.46356245146422
1.0,-7.251582644985767,0.0,-2.3527654601489076
1.0,-42.811274079057505,0.0,-3.5892448183324532
1.0,-18.281454052764488,0.0,-2.096197742475852
1.0,-5.799994423681904,0.0,-2.7615422871698323
1.0,-5.862954564102916,0.0,-2.729305970527979
