phi,c,accRate,logMDD,time,ESS
0.0,2.3498219107e-314,NaN,-0.0,0.211502541,500.0
0.024890119094264262,0.5,0.839,-0.3744606351975525,1.384417,475.00000000000006
0.03991691902723149,0.5249959622099485,0.812,-0.20110412552863707,0.029278583,451.25000000000006
0.05551680679929405,0.5512392301283244,0.83,-0.193821259339701,0.0223155,428.6875
0.07413005339631547,0.5787960506440174,0.82,-0.21391709053985158,0.020057083,407.253125
0.09587681030899751,0.6077295186760623,0.812,-0.2316187215237604,0.02112975,386.89046874999997
0.12066465188179229,0.6381084353316985,0.776,-0.24334441566075943,0.033142875,367.54594531249995
0.14739551098598783,0.6699997390056174,0.771,-0.2473349505033011,0.019877583,349.1686480468749
0.1775956417839847,0.7034836679456138,0.763,-0.26476457465082676,0.02718075,331.71021564453116
0.2120258219033649,0.7386386890886587,0.786,-0.2825164976582576,0.021200917,315.12470486230455
0.2576689966618938,0.7755566970847493,0.759,-0.36127658964259834,0.018541333,299.3684696191893
0.3143732969935475,0.8143120106543593,0.739,-0.4268877940375448,0.018995125,284.4000461382298
0.4007706333319333,0.8549950502329099,0.724,-0.6187764921642911,0.018310875,270.1800438313183
0.48993137806387677,0.8977013463734409,0.707,-0.6045476430685828,0.019794708,256.6710416397524
0.5,0.9425265338235546,0.71,-0.06638099925776847,0.081986125,500.0
