phi,c,accRate,logMDD,time,ESS
0.0,2.414935905e-314,NaN,0.2806574575148164,0.555302,500.0
0.02109108219149685,0.5,0.81,-0.5511660009285823,0.697854958,475.00000000000006
0.03737156531796562,0.5249935785121294,0.796,-0.38436271151946433,0.028709334,451.25000000000006
0.05536155741308892,0.5512348223886555,0.803,-0.4016571872570736,0.02297075,428.6875
0.07557593233030753,0.5787886451219011,0.782,-0.42967498513575303,0.021728125,407.25312499999984
0.09960762231157534,0.6077164436723795,0.728,-0.4969260721595706,0.021384708,386.89046874999985
0.12979918782575456,0.6380732917741738,0.729,-0.6030305022950495,0.0221765,367.54594531249984
0.16401738851733363,0.6699470176010156,0.717,-0.659932969222832,0.021137041,349.1686480468748
0.20771706499765358,0.7034062842547425,0.68,-0.8284088339753224,0.019336291,331.71021564453105
0.25999542529983544,0.7385043524485442,0.691,-0.9583935462030805,0.021329791,315.1247048623045
0.32271745951989134,0.7753659495972126,0.66,-1.1263117101220017,0.022271584,299.3684696191892
0.39016289983460667,0.8140246193405863,0.633,-1.1872510685361708,0.021199583,284.4000461382297
0.4803928209944864,0.8545487028937339,0.6,-1.5652066952584487,0.022670375,270.1800438313182
0.5818235923724547,0.8969613017956992,0.581,-1.7342695039684701,0.033147667,256.6710416397523
0.6840347187503913,0.9413620873217666,0.582,-1.713584268758304,0.021784083,500.0
0.9004836687669582,0.9879681855799928,0.565,-3.5858949967881815,0.022535,475.00000000000006
1.0,1.0367311230058407,0.563,-1.6303876225326066,0.024064167,500.0
